X,Y,FID,CleverID,StopID,StopName,Timepoint,Direction,Routes_ser,NumberofRo,Latitude,Longitude,Mode,Shelter,Stop_type,On_avwk_FY,Off_avwk_F,On_avwk__1,Off_avwk_1,Ramp_Deplo,On_avwk_CY,Off_avwk_C,On_avwk__2,Off_avwk_2
-79.9241000295486,40.4520999557753,1,3140,E28860,HIGHLAND AVE AT FIFTH AVE,1022,Inbound,71B,1,40.4521,-79.9241,Bus,No Shelter,Bus Stop,6.34,2.29,6,2,0,63,15,63,15
-79.979100029531,40.4534999557618,2,2163,E34950,LIBERTY AVE AT 25TH ST,NA,Inbound,"2, 54, 86, 87, 88, 91",6,40.4535,-79.9791,Bus,No Shelter,Bus Stop,6.32,9.59,6,10,0.07,80,55,80,55
-79.8845000295527,40.4316999557788,3,19406,E17440,EDGEWOOD AVE AT ELM ST FS,NA,Inbound,"61A, P7",2,40.4317,-79.8845,Bus,No Shelter,Bus Stop,6.32,0.59,6,1,0,23,1,23,1
-79.9980000295267,40.4578999557584,4,220,N31400,MADISON AVE AT CONCORD ST,NA,Outbound,12,1,40.4579,-79.998,Bus,No Shelter,Bus Stop,6.32,3.01,6,3,0.01,13,5,13,5
-79.8782000295477,40.4156999557751,5,20446,E70007,WOODSTOCK AVE OPP SWISSVALE STATION STEPS,10020,Inbound,"59, 61A",2,40.4157,-79.8782,Bus,No Shelter,Bus Stop,6.31,48.15,6,48,0.29,7,123,7,123
-79.7940000295828,40.4323999558022,6,20688,E18907,EXPOMART DR AT WEST ENTRANCE,NA,Inbound,"67, P67",2,40.4324,-79.794,Bus,No Shelter,Bus Stop,6.3,0.34,6,0,0.01,82,2,82,2
-79.8391000295321,40.3504999557637,7,20844,S50330,YESTER SQ AT CRAWFORD VILLAGE PL,NA,Outbound,60,1,40.3505,-79.8391,Bus,No Shelter,Bus Stop,6.3,0.83,6,1,0.05,26,14,26,14
-79.976700029526,40.440199955758,8,8661,E06970,BENTLEY DR AT #1785,NA,Inbound,81,1,40.4402,-79.9767,Bus,No Shelter,Bus Stop,6.29,3.62,6,4,0.05,20,10,20,10
-80.0097000295109,40.4306999557464,9,6675,X18800,VIRGINIA AVE AT MAPLE TERRACE,NA,Inbound,40,1,40.4307,-80.0097,Bus,No Shelter,Bus Stop,6.29,0.49,6,0,0.02,15,2,15,2
-79.8576000295402,40.3829999557696,10,10981,S14770,DUQUESNE BLVD AT COMMONWEALTH AVE,NA,Both,"59, 61C, P7",3,40.383,-79.8576,Bus,No Shelter,Bus Stop,6.29,11.94,6,12,0.23,10,21,10,21
-79.9545000295309,40.4345999557618,11,8023,E08350,BLVD OF ALLIES AT WARD ST,NA,Both,"58, 65, 93",3,40.4346,-79.9545,Bus,No Shelter,Bus Stop,6.28,2.96,6,3,0.02,50,8,50,8
-79.9292000295492,40.4571999557758,12,18143,E70232,ELLSWORTH AVE AT COLLEGE ST,NA,Inbound,75,1,40.4572,-79.9292,Bus,No Shelter,Bus Stop,6.28,1.73,6,2,0,22,3,22,3
-80.0406000295215,40.4780999557541,13,1929,N13150,CALIFORNIA AVE OPP FALCK AVE,NA,Inbound,13,1,40.4781,-80.0406,Bus,No Shelter,Bus Stop,6.28,4.42,6,4,0.29,21,9,21,9
-79.9841000295243,40.4417999557566,14,8624,E13620,CENTRE AVE AT MILLER ST,NA,Outbound,"82, 83",2,40.4418,-79.9841,Bus,No Shelter,Bus Stop,6.27,8.39,6,8,0.05,18,23,18,23
-79.9298000295459,40.4501999557733,15,19995,E41865,NEGLEY AVE AT KENTUCKY AVE NS,NA,Inbound,64,1,40.4502,-79.9298,Bus,No Shelter,Bus Stop,6.27,7.89,6,8,0.01,17,23,17,23
-80.0275000295221,40.4695999557547,16,1863,N54680,WOODLAND AVE AT STAYTON ST,NA,Inbound,17,1,40.4696,-80.0275,Bus,No Shelter,Bus Stop,6.27,1.02,6,1,0.04,17,2,17,2
-80.1037000294442,40.3491999556956,17,6528,X09540,LESNETT RD AT BANK ST FS,437,Both,41,1,40.3492,-80.1037,Bus,Lamar,Bus Stop with Non-PAAC Shelter,6.25,7.62,6,8,0.15,21,12,21,12
-79.9276000295348,40.423199955765,18,8524,E05980,BEECHWOOD BLVD AT LILAC ST,20000,Outbound,"52L, 53L",2,40.4232,-79.9276,Bus,No Shelter,Bus Stop,6.25,3.65,6,4,0,9,29,9,29
-79.9802000294809,40.339599955724,19,12357,S27203,KEEPORT DR AT #5407,NA,Inbound,Y47,1,40.3396,-79.9802,Bus,No Shelter,Bus Stop,6.24,1.25,6,1,0,26,6,26,6
-79.9730000295262,40.4378999557582,20,18164,E01310,FIFTH AVE AT KIRKPATRICK ST FS,NA,Inbound,"61A, 61B, 61C, 61D, 67, 69, 71A, 71B, 71C, 71D",10,40.4379,-79.973,Bus,No Shelter,Bus Stop,6.24,5.28,6,5,0.02,21,20,21,20
-80.0584000294828,40.4032999557249,21,5822,W08036,GREENTREE RD AT CHATHAM PARK DR,599,Inbound,38,1,40.4033,-80.0584,Bus,No Shelter,Bus Stop,6.23,2.51,6,3,0.04,365,17,365,17
-79.8302000296176,40.5385999558281,22,12782,N22150,FREEPORT RD OPP ALPHA DR E,22055,Outbound,1,1,40.5386,-79.8302,Bus,No Shelter,Bus Stop,6.21,3.23,6,3,0.01,13,5,13,5
-79.9299000295272,40.4075999557592,23,12091,E37965,KANE CENTER MAIN ENTRANCE (GLE,1350,Both,57,1,40.4076,-79.9299,Bus,No Shelter,Bus Stop,6.18,6.88,6,7,0.03,23,26,23,26
-79.9087000295615,40.4699999557852,24,15084,E56380,WASHINGTON BLVD AT NEGLEY RUN BLVD FS,NA,Inbound,P10,1,40.47,-79.9087,Bus,No Shelter,Bus Stop,6.18,1.29,6,1,0.04,18,1,18,1
-79.9234000295412,40.4346999557698,25,20274,E05210,BEACON ST AT MURRAY AVE NS,127,Both,"65, 93",2,40.4347,-79.9234,Bus,No Shelter,Bus Stop,6.18,9.12,6,9,0.1,11,47,11,47
-79.9056000295357,40.4087999557658,26,10965,S02670,8TH AVE AT DICKSON ST,NA,Both,"52L, 59, 61C",3,40.4088,-79.9056,Bus,No Shelter,Bus Stop,6.18,21.41,6,21,0.29,10,36,10,36
-80.0524000295291,40.5042999557598,27,1311,N20100,FOREST AVE AT MARYLAND AVE,NA,Inbound,13,1,40.5043,-80.0524,Bus,No Shelter,Bus Stop,6.18,1.63,6,2,0.05,9,2,9,2
-79.9344000295639,40.4946999557868,28,12705,N31530,MAIN ST AT 8TH ST,NA,Inbound,"1, 91",2,40.4947,-79.9344,Bus,No Shelter,Bus Stop,6.17,6.71,6,7,0.05,20,15,20,15
-79.9446000295239,40.4110999557566,29,12079,S00840,SECOND AVE AT HAZELWOOD AVE,NA,Both,"56, 93",2,40.4111,-79.9446,Bus,City of Pittsburgh,Bus Stop with Non-PAAC Shelter,6.17,0.84,6,1,0,16,4,16,4
-80.2178000294809,40.5195999557224,30,22648,W70176,UNIVERSITY BLVD AT ROBERT MORRIS,NA,Inbound,21,1,40.5196,-80.2178,Bus,No Shelter,Bus Stop,6.17,0.4,6,0,0.04,11,0,11,0
-79.9259000295475,40.4510999557746,31,3259,E01930,FIFTH AVE OPP COLLEGE ST,NA,Both,"28X, 64, 71B, 71D",4,40.4511,-79.9259,Bus,No Shelter,Bus Stop,6.16,13.19,6,13,0.01,22,58,22,58
-80.0312000295253,40.4796999557571,32,1532,N10830,BRIGHTON RD OPP ACACIA LN,NA,Inbound,16,1,40.4797,-80.0312,Bus,City of Pittsburgh,Bus Stop with Non-PAAC Shelter,6.16,1.57,6,2,0.01,12,1,12,1
-80.0614000295206,40.4917999557534,33,18292,N39960,OHIO RIVER BLVD AT RIVERVIEW AVE FS,22075,Outbound,14,1,40.4918,-80.0614,Bus,No Shelter,Bus Stop,6.15,6.46,6,6,0,18,16,18,16
-79.9287000295344,40.4232999557647,34,10957,E41260,MURRAY AVE AT LILAC ST,NA,Both,"61C, 61D, 64, 93",4,40.4233,-79.9287,Bus,No Shelter,Bus Stop,6.14,47.62,6,48,0.1,14,176,14,176
-80.009300029509,40.425999955745,35,6680,X17740,SOUTHERN AVE OPP WHITWORTH ST,NA,Inbound,40,1,40.426,-80.0093,Bus,No Shelter,Bus Stop,6.13,2.07,6,2,0.03,19,4,19,4
-80.0822000294948,40.4485999557338,36,17503,W02555,BROADHEAD-FORDING RD OPP W PROSPECT AVE NS,22011,Outbound,27,1,40.4486,-80.0822,Bus,No Shelter,Bus Stop,6.13,19.94,6,20,0.07,9,24,9,24
-79.9697000295375,40.4609999557666,37,2587,E45530,PENN AVE AT 32ND ST,161,Inbound,"2, 54, 88, 91",4,40.461,-79.9697,Bus,No Shelter,Bus Stop,6.12,10.25,6,10,0.04,31,47,31,47
-79.9943000295213,40.4427999557543,38,15474,P01970,GRANT ST AT SEVENTH AVE FS,NA,Both,"P12, P16, P67",3,40.4428,-79.9943,Bus,No Shelter,Bus Stop,6.1,0.64,6,1,0.01,80,2,80,2
-79.9662000294865,40.3419999557283,39,9414,S23620,HWY RT 51 AT CLOVERLEAF TOWERS,NA,Inbound,"Y1, Y46",2,40.342,-79.9662,Bus,No Shelter,Bus Stop,6.1,0.97,6,1,0,15,1,15,1
-79.9901000295103,40.414399955746,40,2607,S05570,BAUSMAN ST AT KNOX AVE FS,NA,Both,"44, 54",2,40.4144,-79.9901,Bus,No Shelter,Bus Stop,6.1,2.47,6,2,0.07,11,6,11,6
-79.8807000295786,40.4878999557983,41,3198,N21180,FREEPORT RD AT FOX CHAPEL RD NS (PLAZA DRVWY),NA,Inbound,"1, 75, 91",3,40.4879,-79.8807,Bus,No Shelter,Bus Stop,6.09,2.72,6,3,0.07,17,3,17,3
-79.9483000294935,40.3444999557338,42,9613,S70026,CENTURY DR AT SAM'S CLUB DRVWY FS,NA,Outbound,"51, 55, 59, Y47, Y49",5,40.3445,-79.9483,Bus,No Shelter,Bus Stop,6.09,17.84,6,18,0.12,9,29,9,29
-80.005500029526,40.4618999557578,43,970,N33220,MEADVILLE ST AT BELLEAU ST,NA,Outbound,11,1,40.4619,-80.0055,Bus,No Shelter,Bus Stop,6.08,20,6,20,0.08,25,66,25,66
-79.9668000295393,40.462899955768,44,2412,E45560,PENN AVE OPP BUTLER ST,3035,Outbound,"54, 88",2,40.4629,-79.9668,Bus,No Shelter,Bus Stop,6.07,1.44,6,1,0.01,32,22,32,22
-79.9081000295323,40.4029999557633,45,11649,S48380,WEST ST AT 13TH AVE,NA,Inbound,"53, 53L",2,40.403,-79.9081,Bus,No Shelter,Bus Stop,6.07,1.68,6,2,0.02,21,4,21,4
-79.9909000295125,40.4201999557478,46,4773,S04480,ARLINGTON AVE AT KNOX AVE,NA,Both,"48, 51L",2,40.4202,-79.9909,Bus,No Shelter,Bus Stop,6.06,5.82,6,6,0.03,14,22,14,22
-79.9915000295074,40.4088999557439,47,2513,S33280,MCKINLEY ST AT BROWNSVILLE RD FS,1330,Both,54,1,40.4089,-79.9915,Bus,No Shelter,Bus Stop,6.05,8.07,6,8,0.04,27,10,27,10
-80.0686000294958,40.4407999557346,48,3715,W07510,FOSTER AVE AT SR CITIZEN BLDG,NA,Inbound,"26, 27",2,40.4408,-80.0686,Bus,No Shelter,Bus Stop,6.04,1.13,6,1,0.01,4,0,4,0
-79.9762000295039,40.3892999557413,49,21542,S70500,SPENCER AVE AT STEINER ST,NA,Inbound,44,1,40.3893,-79.9762,Bus,No Shelter,Bus Stop,6.03,0.09,6,0,0,11,0,11,0
-79.9263000295371,40.4274999557667,50,10954,E41130,MURRAY AVE OPP BURCHFIELD AVE,NA,Both,"61C, 61D, 64, 93",4,40.4275,-79.9263,Bus,No Shelter,Bus Stop,6.03,11.84,6,12,0.5,7,28,7,28
-79.9196000295558,40.4650999557809,51,20097,E70428,EAST LIBERTY BLVD AT NEGLEY RUN BLVD,NA,Outbound,"75, 89",2,40.4651,-79.9196,Bus,PAAC,Bus Stop with PAAC Shelter,6.02,7.4,6,7,0.03,14,26,14,26
-79.9375000295631,40.4952999557862,52,12707,N31580,MAIN ST AT GARNIER ST,NA,Inbound,"1, 91",2,40.4953,-79.9375,Bus,No Shelter,Bus Stop,6,3.95,6,4,0.02,20,13,20,13
-80.0674000295204,40.4958999557531,53,1387,N40150,OHIO RIVER BLVD OPP ELIZABETH AVE,NA,Inbound,14,1,40.4959,-80.0674,Bus,No Shelter,Bus Stop,6,4.65,6,5,0.03,19,9,19,9
-79.7570000296691,40.6003999558674,54,20650,N71246,4TH AVE AT TARENTUM PARK AND RIDE,1526,Inbound,P10,1,40.6004,-79.757,Bus,No Shelter,Bus Stop,5.99,0.97,6,1,0.01,44,1,44,1
-80.0764000295105,40.4799999557456,55,17431,W70043,PLEASANT RIDGE RD AT SENIOR HIGHRISE,NA,Both,22,1,40.48,-80.0764,Bus,No Shelter,Bus Stop,5.98,1.15,6,1,0.09,No Data,No Data,No Data,No Data
-80.023000029517,40.4545999557509,56,1720,N41770,PENNSYLVANIA AVE AT FONTELLA ST,NA,Inbound,"17, 18",2,40.4546,-80.023,Bus,No Shelter,Bus Stop,5.97,0.73,6,1,0,16,1,16,1
-79.9893000295047,40.4010999557419,57,10018,S09790,BROWNSVILLE RD OPP THE BOULEVARD,NA,Outbound,"51, 51L",2,40.4011,-79.9893,Bus,No Shelter,Bus Stop,5.97,20.63,6,21,0.04,9,35,9,35
-79.918000029569,40.4940999557908,58,12694,N31460,MAIN ST AT 19TH ST,NA,Inbound,"1, 91",2,40.4941,-79.918,Bus,No Shelter,Bus Stop,5.96,6.41,6,6,0.2,22,15,22,15
-79.8916000295477,40.4255999557749,59,7223,E39650,MONONGAHELA AVE OPP WHIPPLE ST (#1641),NA,Inbound,"61B, P71",2,40.4256,-79.8916,Bus,No Shelter,Bus Stop,5.95,0.94,6,1,0.08,37,3,37,3
-80.0411000295237,40.4833999557558,60,1850,N12890,CALIFORNIA AVE AT MARMADUKE ST,NA,Inbound,13,1,40.4834,-80.0411,Bus,No Shelter,Bus Stop,5.94,1.61,6,2,0.01,29,3,29,3
-79.9575000295363,40.4490999557658,61,8892,E13270,CENTRE AVE AT BRYN MAWR RD,NA,Inbound,82,1,40.4491,-79.9575,Bus,City of Pittsburgh,Bus Stop with Non-PAAC Shelter,5.94,12.81,6,13,0.02,20,28,20,28
-79.8830000295451,40.413099955773,62,7211,E48190,RANKIN BLVD AT BLDG #5,NA,Both,"59, 61B, 71, P7",4,40.4131,-79.883,Bus,No Shelter,Bus Stop,5.93,1.76,6,2,0.11,18,4,18,4
-79.9614000295292,40.4358999557605,63,8026,E08130,BLVD OF ALLIES AT CRAFT AVE,NA,Both,"65, 93",2,40.4359,-79.9614,Bus,No Shelter,Bus Stop,5.93,2.94,6,3,0.19,11,8,11,8
-80.0829000294801,40.4155999557227,64,18732,W70060,WEST BUSWAY AT BELL STATION B,2171,Outbound,"28X, G3, G31",3,40.4156,-80.0829,Busway,No Shelter,Busway Station,5.91,0.57,6,1,0.02,16,2,16,2
-79.9591000295278,40.4309999557595,65,12097,S01070,SECOND AVE OPP BATES ST FS,NA,Outbound,"56, 57, 58",3,40.431,-79.9591,Bus,City of Pittsburgh,Bus Stop with Non-PAAC Shelter,5.91,5.07,6,5,0.05,15,17,15,17
-79.9245000295588,40.475599955783,66,8177,E41810,NEGLEY AVE AT HAMPTON ST,NA,Inbound,71A,1,40.4756,-79.9245,Bus,No Shelter,Bus Stop,5.89,0.27,6,0,0,48,1,48,1
-79.925900029557,40.4725999557817,67,8179,E41850,NEGLEY AVE AT JACKSON ST,NA,Inbound,71A,1,40.4726,-79.9259,Bus,No Shelter,Bus Stop,5.89,0.24,6,0,0,46,1,46,1
-79.945800029489,40.3321999557303,68,9606,S24110,HWY RT 51 AT SOUTHLAND SHOPPING CTR ENTRANC,NA,Both,"55, Y46",2,40.3322,-79.9458,Bus,No Shelter,Bus Stop,5.89,17.45,6,17,0.05,15,37,15,37
-80.2216000295061,40.5798999557414,69,1338,N33675,MERCHANT ST OPP VALLEY RD,NA,Inbound,14,1,40.5799,-80.2216,Bus,No Shelter,Bus Stop,5.89,0.51,6,1,0,9,1,9,1
-80.0136000295231,40.4613999557555,70,834,N43760,PERRYSVILLE AVE AT #1923,NA,Both,"11, 8",2,40.4614,-80.0136,Bus,No Shelter,Bus Stop,5.88,0.33,6,0,0,13,1,13,1
-80.0705000295058,40.4648999557421,71,22562,W70171,CHARTIERS AVE AT CRAWFORD ST,NA,Inbound,20,1,40.4649,-80.0705,Bus,No Shelter,Bus Stop,5.87,0.57,6,1,0.02,12,1,12,1
-79.8687000295455,40.4032999557735,72,20939,E70590,BRADDOCK AVE AT 6TH ST,110,Both,"59, 61A, 61B",3,40.4033,-79.8687,Bus,No Shelter,Bus Stop,5.87,15.16,6,15,0.27,10,42,10,42
-79.9603000295422,40.4647999557703,73,2624,E45604,PENN AVE AT 39TH ST,NA,Outbound,"54, 88",2,40.4648,-79.9603,Bus,No Shelter,Bus Stop,5.86,2.06,6,2,0.01,16,16,16,16
-80.0150000294988,40.4068999557372,74,6091,X13600,PIONEER AVE AT SOUTHCREST DR,NA,Inbound,39,1,40.4069,-80.015,Bus,No Shelter,Bus Stop,5.85,1.9,6,2,0.02,20,2,20,2
-80.0380000295263,40.4870999557578,75,1526,N10480,BRIGHTON RD AT KLEBER ST,NA,Inbound,"16, 17",2,40.4871,-80.038,Bus,No Shelter,Bus Stop,5.84,2.32,6,2,0.02,21,3,21,3
-79.9434000295227,40.4076999557558,76,12076,S00990,SECOND AVE AT TIPTON ST,NA,Both,"56, 57, 93",3,40.4077,-79.9434,Bus,No Shelter,Bus Stop,5.83,3.78,6,4,0.06,10,5,10,5
-79.9500000295366,40.4441999557662,77,2638,E19400,FORBES AVE AT DITHRIDGE ST,NA,Both,"28X, 58, 61A, 61B, 61C, 61D, 67, 69",8,40.4442,-79.95,Bus,No Shelter,Bus Stop,5.82,20.85,6,21,0.04,54,235,54,235
-79.9306000295558,40.4732999557807,78,9303,E52620,STANTON AVE AT CHISLETT ST,20094,Outbound,"75, 87",2,40.4733,-79.9306,Bus,No Shelter,Bus Stop,5.82,7.52,6,8,0,16,44,16,44
-79.9530000294899,40.339799955731,79,12346,S40455,REGIS AVE EXT AT HOME DEPOT,NA,Outbound,"55, 59",2,40.3398,-79.953,Bus,No Shelter,Bus Stop,5.82,3.73,6,4,0.02,14,11,14,11
-80.0038000295067,40.4165999557433,80,6971,S11320,CHALFONT ST AT DELMONT AVE,NA,Inbound,44,1,40.4166,-80.0038,Bus,No Shelter,Bus Stop,5.81,1.33,6,1,0.05,17,6,17,6
-79.9033000295605,40.4635999557845,81,8870,E70940,LINCOLN AVE AT LYRIC ST,NA,Inbound,"82, P17",2,40.4636,-79.9033,Bus,No Shelter,Bus Stop,5.79,0.35,6,0,0.02,17,1,17,1
-80.0079000295239,40.4588999557561,82,839,N19120,FEDERAL ST AT ALPINE ST,NA,Both,"11, 8",2,40.4589,-80.0079,Bus,No Shelter,Bus Stop,5.79,4.53,6,5,0.18,15,6,15,6
-80.0435000295211,40.4793999557539,83,18291,N40270,OHIO RIVER BLVD OPP MCKEES ROCKS BRIDGE FS,NA,Outbound,"14, 19L",2,40.4794,-80.0435,Bus,City of Pittsburgh,Bus Stop with Non-PAAC Shelter,5.79,1.73,6,2,0.02,8,5,8,5
-79.8996000295552,40.4486999557805,84,7631,E46150,PENN AVE AT LEXINGTON ST,NA,Inbound,"67, 69, 71C",3,40.4487,-79.8996,Bus,No Shelter,Bus Stop,5.78,0.86,6,1,0.01,30,3,30,3
-79.9846000295135,40.4175999557485,85,4776,S04490,ARLINGTON AVE AT KOEHLER ST,NA,Inbound,48,1,40.4176,-79.9846,Bus,No Shelter,Bus Stop,5.78,1.04,6,1,0.02,13,2,13,2
-80.0340000295187,40.4666999557521,86,1941,N40423,OLD CALIFORNIA AVE AT WOODLAND AVE,NA,Both,13,1,40.4667,-80.034,Bus,No Shelter,Bus Stop,5.78,4.76,6,5,0.02,11,8,11,8
-79.8636000295481,40.4055999557756,87,22582,E70964,6TH ST AT BALDRIDGE ST,NA,Outbound,"61A, 61B",2,40.4056,-79.8636,Bus,No Shelter,Bus Stop,5.78,3.94,6,4,0.14,10,11,10,11
-79.8393000296139,40.5368999558252,88,12618,N22510,FREEPORT RD OPP HWY RT 910 (WERNER CAMP),NA,Outbound,"1, P16, P78",3,40.5369,-79.8393,Bus,No Shelter,Bus Stop,5.77,6.59,6,7,0.02,11,20,11,20
-79.9759000295162,40.4171999557506,89,4871,S04720,ARLINGTON AVE AT FERNLEAF ST,NA,Outbound,48,1,40.4172,-79.9759,Bus,No Shelter,Bus Stop,5.76,13.88,6,14,0.14,13,34,13,34
-79.9322000295446,40.4489999557723,90,3256,E01900,FIFTH AVE OPP BELLEFONTE ST,NA,Both,"28X, 71B, 71D",3,40.449,-79.9322,Bus,No Shelter,Bus Stop,5.75,36.27,6,36,0.01,21,199,21,199
-80.0835000294751,40.4044999557189,91,3909,W24250,WASHINGTON AVE AT LINCOLN AVE,NA,Inbound,31,1,40.4045,-80.0835,Bus,Lamar,Bus Stop with Non-PAAC Shelter,5.74,1.41,6,1,0.02,31,6,31,6
-79.9178000295557,40.4635999557808,92,18966,E17380,EAST LIBERTY BLVD AT LARIMER AVE,NA,Inbound,"75, 89",2,40.4636,-79.9178,Bus,No Shelter,Bus Stop,5.73,6.05,6,6,0.02,20,13,20,13
-80.0273000295166,40.4568999557506,93,1707,N31790,MANHATTAN ST AT JUNIATA ST,NA,Inbound,"17, 18",2,40.4569,-80.0273,Bus,No Shelter,Bus Stop,5.73,0.55,6,1,0,14,2,14,2
-79.8291000295323,40.3432999557638,94,12168,S70480,UNIVERSITY DR AT EDEN PARK BLVD,NA,Inbound,56,1,40.3433,-79.8291,Bus,No Shelter,Bus Stop,5.73,0.32,6,0,0,14,0,14,0
-79.8878000294911,40.2932999557324,95,9848,S44770,ST CLAIR AVE AT 6TH ST,NA,Both,"55, Y46",2,40.2933,-79.8878,Bus,No Shelter,Bus Stop,5.72,14.43,6,14,0.02,18,45,18,45
-79.9210000295573,40.469599955782,96,3274,E29140,HIGHLAND AVE AT STANTON AVE,187,Outbound,"71B, 75",2,40.4696,-79.921,Bus,No Shelter,Bus Stop,5.72,28.53,6,29,0.16,14,139,14,139
-80.0448000295242,40.4873999557561,97,18307,N54800,WINHURST ST AT CALIFORNIA AVE FS,1294,Inbound,16,1,40.4874,-80.0448,Bus,No Shelter,Bus Stop,5.72,2.62,6,3,0.04,13,4,13,4
-79.9369000295426,40.4478999557707,98,1165,E02090,FIFTH AVE OPP WILKINS AVE,NA,Both,"28X, 71B, 71D",3,40.4479,-79.9369,Bus,No Shelter,Bus Stop,5.7,2.95,6,3,0,47,12,47,12
-79.9349000295575,40.480599955782,99,9278,E52810,STANTON AVE AT ORANMORE ST,NA,Inbound,87,1,40.4806,-79.9349,Bus,No Shelter,Bus Stop,5.7,1.31,6,1,0.02,29,5,29,5
-80.0080000295112,40.4298999557466,100,6754,X18890,VIRGINIA AVE OPP SHOP-N-SAVE,22017,Outbound,40,1,40.4299,-80.008,Bus,No Shelter,Bus Stop,5.7,4.79,6,5,0.25,13,11,13,11
-79.9220000295614,40.479599955785,101,3230,E70839,MELLON TERRACE AT N NEGLEY AVE,1497,Both,71B,1,40.4796,-79.922,Bus,No Shelter,Bus Stop,5.69,10.2,6,10,0.08,26,24,26,24
-79.838600029552,40.3955999557786,102,11179,E36400,LINCOLN HWY OPP CENTER AVE,NA,Inbound,P76,1,40.3956,-79.8386,Bus,No Shelter,Bus Stop,5.69,0.46,6,0,0,18,3,18,3
-79.9849000295239,40.4414999557563,103,8676,E13725,CENTRE AVE AT PROTECTORY PL,NA,Inbound,"82, 83",2,40.4415,-79.9849,Bus,No Shelter,Bus Stop,5.69,6.91,6,7,0.04,17,18,17,18
-79.9338000295481,40.4581999557749,104,8206,E70014,NEGLEY AVE AT BAUM BLVD,NA,Outbound,"71A, 71C",2,40.4582,-79.9338,Bus,No Shelter,Bus Stop,5.68,12.61,6,13,0.03,26,63,26,63
-79.884500029538,40.3980999557677,105,11109,S34010,MIDWAY DR AT WHITAKER ST FS,NA,Both,59,1,40.3981,-79.8845,Bus,No Shelter,Bus Stop,5.68,10.53,6,11,0.02,15,24,15,24
-80.0830000294739,40.4014999557181,106,3907,W24110,WASHINGTON AVE AT FRANKLIN AVE,NA,Inbound,31,1,40.4015,-80.083,Bus,Lamar,Bus Stop with Non-PAAC Shelter,5.67,3.96,6,4,0.02,60,18,60,18
-80.0188000294968,40.4051999557357,107,19717,X20010,WEST LIBERTY AVE AT CAPITAL AVE,NA,Inbound,41,1,40.4052,-80.0188,Bus,No Shelter,Bus Stop,5.67,1.2,6,1,0.02,25,3,25,3
-80.067700029501,40.4518999557386,108,4152,W06800,FARONIA ST AT WYNETTE ST FS,NA,Both,"26, 27",2,40.4519,-80.0677,Bus,No Shelter,Bus Stop,5.67,5.73,6,6,0.17,10,9,10,9
-80.0333000295183,40.4653999557518,109,1940,N13070,CALIFORNIA AVE AT SUPERIOR AVE,NA,Both,13,1,40.4654,-80.0333,Bus,No Shelter,Bus Stop,5.66,4.57,6,5,0.04,17,13,17,13
-80.0409000295054,40.441599955742,110,4243,W21510,STEUBEN ST AT ELBON ST,NA,Inbound,"27, 29",2,40.4416,-80.0409,Bus,No Shelter,Bus Stop,5.65,2.99,6,3,0.04,13,5,13,5
-80.0024000295325,40.4743999557627,111,1780,N41320,PENFORT ST AT #173,NA,Inbound,"15, 6",2,40.4744,-80.0024,Bus,No Shelter,Bus Stop,5.62,0.61,6,1,0.08,21,2,21,2
-79.889300029546,40.4200999557737,112,7248,E39640,MONONGAHELA AVE OPP WASHINGTON ST,20016,Outbound,"61B, 71, P71",3,40.4201,-79.8893,Bus,No Shelter,Bus Stop,5.62,9.02,6,9,0.09,15,21,15,21
-79.9784000295289,40.4480999557602,113,8732,E70789,BEDFORD AVE AT KIRKPATRICK ST,20201,Outbound,83,1,40.4481,-79.9784,Bus,No Shelter,Bus Stop,5.62,14.32,6,14,0.36,15,36,15,36
-80.0336000295253,40.481499955757,114,1613,N10380,BRIGHTON RD AT DAVIS AVE,NA,Outbound,16,1,40.4815,-80.0336,Bus,No Shelter,Bus Stop,5.62,23.07,6,23,0.42,8,56,8,56
-79.9642000295355,40.4523999557652,115,8687,E39390,MILWAUKEE ST AT HERRON AVE,NA,Inbound,83,1,40.4524,-79.9642,Bus,No Shelter,Bus Stop,5.61,1.87,6,2,0.01,20,6,20,6
-79.9274000295662,40.4944999557886,116,12700,N31420,MAIN ST AT 14TH ST,NA,Inbound,"1, 91",2,40.4945,-79.9274,Bus,No Shelter,Bus Stop,5.61,4.5,6,5,0,19,13,19,13
-79.9972000295146,40.4294999557492,117,4824,S16580,E CARSON ST AT TERMINAL WAY FS,NA,Inbound,"48, 51",2,40.4295,-79.9972,Bus,No Shelter,Bus Stop,5.6,3.52,6,4,0.02,32,11,32,11
-79.9588000295355,40.4483999557653,118,8893,E13880,CENTRE AVE OPP ALLEQUIPPA ST,NA,Inbound,82,1,40.4484,-79.9588,Bus,No Shelter,Bus Stop,5.59,25.42,6,25,0.17,20,81,20,81
-80.0136000295257,40.4673999557575,119,963,N54510,WILSON AVE AT CHESTER AVE,NA,Outbound,11,1,40.4674,-80.0136,Bus,No Shelter,Bus Stop,5.59,4.11,6,4,0.15,15,10,15,10
-79.9920000295159,40.4285999557503,120,18465,S16625,E CARSON ST AT S 7TH ST FS,NA,Outbound,"48, 51",2,40.4286,-79.992,Bus,No Shelter,Bus Stop,5.59,15.13,6,15,0.11,10,29,10,29
